
n	weight
---------------
1	29316
2	16940
3	-44448
4	25217
5	-32021
6	25130
7	-41693
8	-37205
9	-114203
10	-31929
11	-79570
12	-79741
13	-139926
14	-198094
15	-110571
16	-233320
17	-141960
18	-271743
19	-288906
20	-229506
21	-510185
22	-515136
23	-444357
24	-393278
25	-1119906
26	-788168
27	-895704
28	-733645
29	-1541291
30	-1578294
31	-1664316
32	-1652119
33	-2089013
34	-1934208
35	-2229428
36	-2356163
37	-4811598
38	-4739387
39	-4717250
40	-4537267
41	-8722212
42	-9314968
43	-9845767
44	-8681447
45	-17844628
46	-18798446
47	-18741474
48	-18178610
49	-22079522
50	-22338561
51	-22581384
52	-22606313
53	-45962292
54	-45195405
55	-47854708
56	-46418161
57	-92003321
58	-94397064
59	-88771991
60	-93017025
61	-186834082
62	-185997521
63	-182065015
64	-180793224
65	-230698391
66	-230168572
67	-231393935
68	-231011693
